"playerID","salary_ratio","points_ratio","total_first_place_votes","total_awards","total_GP","perc_starting","TotalBatGames","total_bat_games_post","BattingAverage","AvgRunsPerGame","AvgHomeRunsPerGame","AvgRBIsPerGame","AvgNoStrikeoutsPerGame","TotalPitGames","total_pit_games_post","WinLossRatio","AvgERA","AvgSO","AvgCG","AvgSHO","TotalFieGames","total_fie_games_post","avg_PO","avg_A","avg_E","avg_DP","avg_ZR","class"
"lawrebr01","0.17","0.0179","0","0","0","0","275","0","0.1536","0.0618","0.0000","0.0836","0.6545","275","0","1.1129","0.135564","1.7491","0.1527","0.0182","275","0","0.3055","0.6727","0.0473","0.0618","0.000000","N"
"rosepe01","1.52","0.2457","37","16","16","0.5000","3562","67","0.3029","0.6078","0.0449","0.3689","0.6791","0","0","0","0","0","0","0","3528","66","3.5130","0.9493","0.0604","0.3070","0.000000","Y"
"johnto01","1.02","0.1266","4","3","2","0.0000","761","14","0.1567","0.0565","0.0066","0.0710","0.7227","760","14","1.2468","0.128539","2.9539","0.2132","0.0605","760","14","0.3118","1.3526","0.0645","0.0908","0.000000","Y"
"staubru01","0.63","0.0601","0","1","4","0.2500","2951","11","0.2794","0.4029","0.0989","0.4968","0.6991","0","0","0","0","0","0","0","2101","10","3.1280","0.1913","0.0666","0.1456","0.000000","Y"
"perezto01","0.56","0.1324","0","4","7","0.1429","2777","47","0.2794","0.4580","0.1365","0.5949","0.3277","0","0","0","0","0","0","0","2539","44","5.9579","0.9610","0.0945","0.5845","0.000000","Y"
"niekrph01","1.01","0.0747","2","7","2","0.0000","866","2","0.1692","0.0924","0.0081","0.1259","0.6374","864","2","1.1606","0.123333","3.8681","0.2836","0.0521","864","2","0.4468","1.0162","0.0428","0.0961","0.000000","Y"
"carltst01","1.67","0.3549","90","17","5","0.4000","745","16","0.2013","0.1651","0.0174","0.1879","0.4456","741","16","1.3484","0.145250","5.5816","0.3428","0.0742","741","16","0.1471","0.9771","0.0567","0.0486","0.000000","Y"
"johnsja01","0.31","0","0","0","0","0","1748","14","0.2666","0.3307","0.0584","0.3038","0.6384","0","0","0","0","0","0","0","1367","6","2.0066","0.0951","0.0446","0.0410","0.000000","N"
"suttodo01","1.62","0.0620","2","3","4","0.2500","785","15","0.1440","0.0815","0.0000","0.0815","0.5350","774","15","1.2656","0.106886","4.6176","0.2300","0.0749","774","15","0.4315","0.7920","0.0401","0.0543","0.000000","Y"
"ryanno01","3.35","0.0736","19","2","5","0.2000","807","9","0.1103","0.0496","0.0025","0.0446","0.5403","807","9","1.1096","0.123594","7.0805","0.2751","0.0756","807","9","0.2726","0.6778","0.1115","0.0335","0.000000","Y"
"niekrjo01","1.76","0.1700","10","2","0","0","706","4","0.1562","0.0779","0.0014","0.1020","0.6289","702","3","1.0833","0.144031","2.4886","0.1524","0.0413","702","3","0.3604","0.7578","0.0356","0.0584","0.000000","Y"
"jacksre01","2.02","0.2528","32","13","12","0.8333","2820","77","0.2620","0.5500","0.1996","0.6035","0.0791","0","0","0","0","0","0","0","2102","61","1.9324","0.0633","0.0676","0.0147","0.000000","Y"
"carewro01","1.84","0.2077","32","14","15","1.0000","2469","14","0.3278","0.5768","0.0373","0.4111","0.5836","0","0","0","0","0","0","0","2321","12","5.8208","1.5980","0.1120","0.7738","0.000000","Y"
"nettlgr01","1.25","0.1484","2","6","6","0.5000","2700","53","0.2476","0.4419","0.1444","0.4867","0.5522","0","0","0","0","0","0","0","2504","52","0.8379","2.1146","0.1190","0.1917","0.000000","Y"
