"playerID","salary_ratio","points_ratio","total_first_place_votes","total_awards","total_GP","perc_starting","TotalBatGames","total_bat_games_post","BattingAverage","AvgRunsPerGame","AvgHomeRunsPerGame","AvgRBIsPerGame","AvgNoStrikeoutsPerGame","TotalPitGames","total_pit_games_post","WinLossRatio","AvgERA","AvgSO","AvgCG","AvgSHO","TotalFieGames","total_fie_games_post","avg_PO","avg_A","avg_E","avg_DP","avg_ZR","class"
"alomaro01","3.38","0.2643","13","21","12","0.7500","2379","58","0.3002","0.6339","0.0883","0.4767","0.5208","0","0","0","0","0","0","0","2325","58","1.9196","2.8112","0.0787","0.6069","0.000000","1"
"bagweje01","4.88","0.3125","55","11","4","0.5000","2150","33","0.2968","0.7056","0.2088","0.7112","0.2753","0","0","0","0","0","0","0","2112","26","8.3078","0.8073","0.0611","0.7661","0.000000","1"
"baineha01","1.38","0.0746","0","4","6","0.1667","2830","31","0.2893","0.4590","0.1357","0.5753","0.4908","0","0","0","0","0","0","0","1061","4","1.9142","0.0650","0.0443","0.0160","0.000000","1"
"beltrad01","3.28","0.2881","7","12","4","0.5000","2933","28","0.2860","0.5196","0.1626","0.5820","0.4095","0","0","0","0","0","0","0","2767","28","0.7951","1.8746","0.1124","0.1890","0.000000","1"
"biggicr01","2.64","0.2061","0","17","7","0.5714","2850","40","0.2814","0.6470","0.1021","0.4123","0.3849","0","0","0","0","0","0","0","2780","40","2.5741","2.0399","0.0723","0.4223","0.000000","1"
"blylebe01","2.01","0.0789","5","0","2","0.0000","699","8","0.1308","0.0272","0.0000","0.0358","0.7239","692","8","1.1480","0.119798","5.3483","0.3497","0.0867","692","8","0.4147","0.9566","0.0434","0.0694","0.000000","1"
"boggswa01","2.49","0.1320","0","17","12","0.9167","2440","39","0.3279","0.6201","0.0484","0.4156","0.6947","2","0","0","3.375000","1.0000","0.0000","0.0000","2285","38","0.9256","1.8836","0.1015","0.2066","0.000000","1"
"brettge01","3.51","0.2971","28","14","10","0.9000","2707","43","0.3048","0.5848","0.1171","0.5896","0.6646","0","0","0","0","0","0","0","2200","43","2.5014","1.8109","0.1327","0.3064","0.000000","1"
"carewro01","1.84","0.2077","32","14","15","1.0000","2469","14","0.3278","0.5768","0.0373","0.4111","0.5836","0","0","0","0","0","0","0","2321","12","5.8208","1.5980","0.1120","0.7738","0.000000","1"
"carltst01","1.67","0.3549","90","17","5","0.4000","745","16","0.2013","0.1651","0.0174","0.1879","0.4456","741","16","1.3484","0.145250","5.5816","0.3428","0.0742","741","16","0.1471","0.9771","0.0567","0.0486","0.000000","1"
"cartega01","2.57","0.2769","11","17","10","0.7000","2296","30","0.2625","0.4464","0.1411","0.5335","0.5658","0","0","0","0","0","0","0","2272","30","5.4974","0.5489","0.0563","0.0841","0.000000","1"
"dawsoan01","2.94","0.2641","24","20","8","0.8750","2627","15","0.2794","0.5226","0.1667","0.6056","0.4256","0","0","0","0","0","0","0","2323","15","2.2204","0.0676","0.0400","0.0129","0.000000","1"
"eckerde01","2.41","0.3104","39","9","6","0.1667","1073","28","0.1326","0.0084","0.0028","0.0112","0.9217","1071","28","1.1520","0.081008","2.2418","0.0934","0.0187","1071","28","0.1942","0.3408","0.0289","0.0187","0.000000","1"
"fingero01","2.24","0.2291","41","11","5","0.0000","945","30","0.1722","0.0106","0.0021","0.0095","0.9524","944","30","0.9661","0.077701","1.3761","0.0042","0.0021","944","30","0.1144","0.2680","0.0148","0.0244","0.000000","1"
"fiskca01","1.76","0.1905","28","10","10","0.7000","2499","14","0.2691","0.5106","0.1505","0.5322","0.4454","0","0","0","0","0","0","0","2298","14","5.0531","0.4678","0.0718","0.0727","0.000000","1"
"garvest01","2.77","0.2745","13","15","10","0.9000","2332","55","0.2942","0.4901","0.1166","0.5609","0.5699","0","0","0","0","0","0","0","2261","55","8.4051","0.6342","0.0575","0.6771","0.000000","1"
"glavito02","3.38","0.1696","42","14","6","0.3333","709","36","0.1859","0.1312","0.0014","0.1269","0.5360","682","35","1.5025","0.119560","3.8226","0.0821","0.0367","682","35","0.3842","1.2551","0.0381","0.0982","0.000000","1"
"gossari01","1.40","0.1647","6","3","6","0.0000","1003","19","0.1059","0.0010","0.0000","0.0020","0.9631","1002","19","1.1589","0.073453","1.4990","0.0160","0.0000","1002","19","0.0778","0.1796","0.0210","0.0110","0.000000","1"
"griffke02","3.72","0.3110","36","29","9","1.0000","2671","18","0.2837","0.6222","0.2359","0.6874","0.3340","0","0","0","0","0","0","0","2384","18","2.3519","0.0646","0.0373","0.0180","0.000000","1"
"guerrvl01","3.38","0.2319","22","15","9","0.7778","2147","44","0.3176","0.6185","0.2091","0.6968","0.5412","0","0","0","0","0","0","0","1608","15","1.9708","0.0784","0.0777","0.0199","0.000000","1"
"gwynnto01","2.78","0.1589","1","21","13","0.7692","2440","27","0.3382","0.5668","0.0553","0.4664","0.8221","0","0","0","0","0","0","0","2326","27","1.9398","0.0688","0.0267","0.0112","0.000000","1"
"hallaro01","3.77","0.3943","66","5","6","0.3333","416","5","0.1236","0.0361","0.0000","0.0288","0.6707","416","5","1.9333","0.146659","5.0889","0.1611","0.0481","416","5","0.5481","0.9375","0.0361","0.0529","0.000000","1"
"heltoto01","3.70","0.1833","16","12","5","0.6000","2247","15","0.3164","0.6235","0.1642","0.6257","0.4771","0","0","0","0","0","0","0","2193","15","8.6206","0.7880","0.0360","0.9248","0.000000","1"
"henderi01","2.14","0.3074","26","9","10","0.7000","3081","60","0.2787","0.7449","0.0964","0.3619","0.4502","0","0","0","0","0","0","0","2826","59","2.2887","0.0464","0.0499","0.0081","0.000000","1"
